,title,artist
0,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
1,Do We Have A Problem?,Nicki Minaj X Lil Baby
2,Easy On Me,Adele
3,Heat Waves,Glass Animals
4,Stay,The Kid LAROI & Justin Bieber
5,Super Gremlin,Kodak Black
6,abcdefu,GAYLE
7,Shivers,Ed Sheeran
8,Ghost,Justin Bieber
9,Surface Pressure,Jessica Darrow
10,Pushin P,Gunna & Future Featuring Young Thug
11,Thats What I Want,Lil Nas X
12,Need To Know,Doja Cat
13,Cold Heart (PNAU Remix),Elton John & Dua Lipa
14,Bad Habits,Ed Sheeran
15,Industry Baby,Lil Nas X & Jack Harlow
16,Levitating,Dua Lipa
17,Save Your Tears,The Weeknd & Ariana Grande
18,Hrs And Hrs,Muni Long
19,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast"
20,One Right Now,Post Malone & The Weeknd
21,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak)
22,Oh My God,Adele
23,I Hate U,SZA
24,Good 4 U,Olivia Rodrigo
25,Love Nwantiti (Ah Ah Ah),CKay
26,Knife Talk,Drake Featuring 21 Savage & Project Pat
27,Big Energy,Latto
28,Woman,Doja Cat
29,You Should Probably Leave,Chris Stapleton
30,Enemy,Imagine Dragons X JID
31,Better Days,NEIKED X Mae Muller X Polo G
32,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz
33,Fingers Crossed,Lauren Spencer-Smith
34,Buy Dirt,Jordan Davis Featuring Luke Bryan
35,Fancy Like,Walker Hayes
36,You Right,Doja Cat & The Weeknd
37,Sand In My Boots,Morgan Wallen
38,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole
39,Don't Play That,King Von & 21 Savage
40,Dos Oruguitas,Sebastian Yatra
41,Essence,Wizkid Featuring Justin Bieber & Tems
42,Cigarettes,Juice WRLD
43,Kiss Me More,Doja Cat Featuring SZA
44,Freedom Was A Highway,Jimmie Allen & Brad Paisley
45,Sacrifice,The Weeknd
46,'Til You Can't,Cody Johnson
47,To Be Loved By You,Parker McCollum
48,Light Switch,Charlie Puth
49,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
50,One Mississippi,Kane Brown
51,She's All I Wanna Be,Tate McRae
52,Waiting On A Miracle,Stephanie Beatriz
53,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
54,P Power,Gunna Featuring Drake
55,Heart On Fire,Eric Church
56,Beers On Me,"Dierks Bentley, Breland & HARDY"
57,23,Sam Hunt
58,AA,Walker Hayes
59,Broadway Girls,Lil Durk Featuring Morgan Wallen
60,Chosen,Blxst & Tyga Featuring Ty Dolla $ign
61,Doin' This,Luke Combs
62,Rumors,Gucci Mane Featuring Lil Durk
63,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
64,For Tonight,Giveon
65,Pressure,Ari Lennox
66,Never Say Never,Cole Swindell / Lainey Wilson
67,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift
68,Me Or Sum,"Nardo Wick, Lil Baby & Future"
69,Do It To It,Acraze Featuring Cherish
70,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast"
71,Scorpio,Moneybagg Yo
72,Scared Money,YG Featuring J. Cole & Moneybagg Yo
73,Whiskey And Rain,Michael Ray
74,I Love You So,The Walters
75,Cold December,Rod Wave
76,Emo Girl,Machine Gun Kelly & WILLOW
77,Black Summer,Red Hot Chili Peppers
78,By Your Side,Rod Wave
79,Peru,Fireboy DML & Ed Sheeran
80,Beautiful Lies,Yung Bleu & Kehlani
81,High,The Chainsmokers
82,Circles Around This Town,Maren Morris
83,All Too Well (Taylor's Version),Taylor Swift
84,If I Was A Cowboy,Miranda Lambert
85,Get Into It (Yuh),Doja Cat
86,Doja,$NOT & A$AP Rocky
87,Hate Our Love,Queen Naija & Big Sean
88,Come Back As A Country Boy,Blake Shelton
89,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde
90,Numb Little Bug,Em Beihold
91,Too Easy,Gunna & Future
92,The Motto,Tiesto & Ava Max
93,Home Sweet,Russell Dickerson
94,Flower Shops,ERNEST Featuring Morgan Wallen
95,Iffy,Chris Brown
96,When I'm Gone,Alesso / Katy Perry
97,Fair Trade,Drake Featuring Travis Scott
98,Megan's Piano,Megan Thee Stallion
99,Moth To A Flame,Swedish House Mafia & The Weeknd
